"","ticker","name","cik","occurrence","date_added","date_removed","name_when_added","name_when_removed"
"424","SWKS","Skyworks Solutions",4127,1,2015-03-12,NA,"Skyworks Solutions",NA
"425","SNA","Snap-on",91440,1,NA,NA,NA,NA
"426","SO","Southern Company",92122,1,NA,NA,NA,NA
"427","LUV","Southwest Airlines",92380,1,NA,NA,NA,NA
"428","SWK","Stanley Black & Decker",93556,1,NA,NA,NA,NA
"429","SBUX","Starbucks",829224,1,NA,NA,NA,NA
"430","STT","State Street Corporation",93751,1,NA,NA,NA,NA
"431","STE","Steris",1757898,1,2019-12-23,NA,"Steris",NA
"432","SYK","Stryker Corporation",310764,1,NA,NA,NA,NA
"433","SIVB","SVB Financial",719739,1,2018-03-19,2023-03-15,"SVB Financial","SVB Financial Group"
"434","SYF","Synchrony Financial",1601712,1,2015-11-18,NA,"Synchrony Financial",NA
"435","SNPS","Synopsys",883241,1,2017-03-16,NA,"Synopsys",NA
"436","SYY","Sysco",96021,1,NA,NA,NA,NA
"437","TMUS","T-Mobile US",1283699,1,2019-07-15,NA,"T-Mobile US",NA
"438","TROW","T. Rowe Price",1113169,1,NA,NA,NA,NA
"439","TTWO","Take-Two Interactive",946581,1,2018-03-19,NA,"Take-Two Interactive",NA
"440","TPR","Tapestry",1116132,1,NA,NA,NA,NA
"441","TGT","Target Corporation",27419,1,NA,NA,NA,NA
"442","TEL","TE Connectivity",1385157,1,2011-10-14,NA,"TE Connectivity",NA
"443","TDY","Teledyne Technologies",1094285,1,2020-06-22,NA,"Teledyne Technologies",NA
"444","TFX","Teleflex",96943,1,2019-01-18,2025-03-24,"Teleflex","Teleflex"
"445","TER","Teradyne",97210,2,2020-09-21,NA,"Teradyne",NA
"446","TSLA","Tesla",1318605,1,2020-12-21,NA,"Tesla",NA
"447","TXN","Texas Instruments",97476,1,NA,NA,NA,NA
"448","TXT","Textron",217346,1,NA,NA,NA,NA
"449","TMO","Thermo Fisher Scientific",97745,1,NA,NA,NA,NA
"450","TJX","TJX Companies",109198,1,NA,NA,NA,NA
"451","TSCO","Tractor Supply Company",916365,1,2014-01-24,NA,"Tractor Supply Company",NA
"452","TT","Trane Technologies",1466258,1,2020-03-03,NA,"Trane Technologies",NA
"453","TDG","TransDigm Group",1260221,1,2016-06-03,NA,"TransDigm Group",NA
"454","TRV","The Travelers Companies",86312,1,NA,NA,NA,NA
"455","TRMB","Trimble",864749,1,2021-01-21,NA,"Trimble",NA
"456","TFC","Truist Financial",92230,1,NA,NA,NA,NA
"457","TWTR","Twitter",1418091,1,2018-06-07,2022-11-01,"Twitter","Twitter"
"458","TYL","Tyler Technologies",860731,1,2020-06-22,NA,"Tyler Technologies",NA
"459","TSN","Tyson Foods",100493,1,NA,NA,NA,NA
"460","UDR","UDR",74208,1,2016-03-07,NA,"UDR",NA
"461","ULTA","Ulta Beauty",1403568,1,2016-04-18,NA,"Ulta Beauty",NA
"462","USB","U.S. Bancorp",36104,1,NA,NA,NA,NA
